Dataset,SVM,Decision Tree,Cone
toy-10-5,0.856 $\pm$ 0.010,0.967 $\pm$ 0.006,0.961 $\pm$ 0.005
toy-100-10,0.763 $\pm$ 0.004,0.993 $\pm$ 0.002,0.991 $\pm$ 0.002
toy-2-2,0.954 $\pm$ 0.004,0.990 $\pm$ 0.002,0.877 $\pm$ 0.094
toy-6-3,0.880 $\pm$ 0.003,0.940 $\pm$ 0.006,0.944 $\pm$ 0.008
