Dataset,SVM,Decision Tree,Cone
wn-random-10,0.600 $\pm$ 0.005,0.598 $\pm$ 0.004,0.583 $\pm$ 0.005
wn-random-100,0.725 $\pm$ 0.003,0.672 $\pm$ 0.006,0.728 $\pm$ 0.003
wn-raw-10,0.599 $\pm$ 0.035,0.691 $\pm$ 0.007,0.639 $\pm$ 0.007
wn-raw-100,0.712 $\pm$ 0.009,0.720 $\pm$ 0.005,0.667 $\pm$ 0.006
wn-mi-10,0.632 $\pm$ 0.006,0.632 $\pm$ 0.006,0.608 $\pm$ 0.009
wn-mi-100,0.791 $\pm$ 0.003,0.731 $\pm$ 0.004,0.760 $\pm$ 0.003
