Dataset,Stratified,SVM,Decision Tree,Cone
wn-noun-dependencies-100,0.496 $\pm$ 0.004,0.659 $\pm$ 0.013,0.712 $\pm$ 0.002,0.505 $\pm$ 0.061
wn-noun-dependencies-10,0.491 $\pm$ 0.006,0.497 $\pm$ 0.064,0.684 $\pm$ 0.004,0.554 $\pm$ 0.074
